official name,display name,Whatifsports name,flair,conference,conference division,year,record,initial ranking points,head coach,punter,kick returner,punt returner
Clemson,Clemson,Clemson,[](#f/clemson),ACC,,2018,15-0,19.049,Dabo Swinney,Will Spiers,Derion Kendrick,Amari Rodgers
Alabama,Alabama,Alabama,[](#f/alabama),SEC,,2020,13-0,18.539,Nick Saban,Charlie Scott,Jahleel Billingsley,DeVonta Smith
Miami (FL),Miami (FL),Miami (FL),[](#f/miami),ACC,,2001,12-0,18.278,Larry Coker,Freddie Capshaw,Andre Johnson,Philip Buchanon
Georgia,Georgia,Georgia,[](#f/georgia),SEC,,2022,15-0,17.978,Kirby Smart,Brett Thorson,Kearis Jackson,Ladd McConkey
Texas,Texas,Texas,[](#f/texas),SEC,,2005,13-0,17.841,Mack Brown,Richmond McGee,Ramonce Taylor,Aaron Ross
Louisiana State,LSU,LSU,[](#f/lsu),SEC,,2019,15-0,17.278,Ed Orgeron,Zach Von Rosenberg,Clyde Edwards-Helaire,Derek Stingley Jr.
Florida State,Florida State,Florida State,[](#f/floridastate),ACC,,2013,14-0,17.011,Jimbo Fisher,Carson Beatty,Kermit Whitfield,Kenny Shaw
Michigan,Michigan,Michigan,[](#f/michigan),Big Ten,,2023,15-0,16.991,Jim Harbaugh,Tommy Doman,Semaj Morgan,Jake Thaw
Southern California,USC,USC,[](#f/usc),Big Ten,,2004,13-0,16.706,Pete Carroll,Tom Malone,Reggie Bush,Reggie Bush
Florida,Florida,Florida,[](#f/florida),SEC,,2008,13-1,16.673,Urban Meyer,Chas Henry,Brandon James,Brandon James
Oklahoma,Oklahoma,Oklahoma,[](#f/oklahoma),SEC,,2000,13-0,16.313,Bob Stoops,Jeff Ferguson,JT Thatcher, JT Thatcher
Ohio State,Ohio State,Ohio State,[](#f/ohiostate),Big Ten,,2019,13-1,16.199,Urban Meyer,Drue Chrisman,Demario McCall,Garrett Wilson
Nebraska,Nebraska,Nebraska,[](#f/nebraska),Big Ten,,1997,13-0,16.152,Tom Osborne,Jesse Kosch,Joe Walker,Shevin Wiggins
Oklahoma State,Oklahoma State,Oklahoma State,[](#f/oklahomastate),Big 12,,2011,12-1,15.654,Mike Gundy,Justin Gilbert,Josh Cooper
Auburn,Auburn,Auburn,[](#f/auburn),SEC,,2010,14-0,15.616,Gene Chizik,Ryan Shoemaker,Demond Washington,Quindarius Carr
Tennessee,Tennessee,Tennessee,[](#f/tennessee),SEC,,1998,13-0,14.85,Phillip Fulmer,David Leaverton,Peerless Price,Eric Parker
Louisville,Louisville,Louisville,[](#f/louisville),ACC,,2006,12-1,14.606,Bobby Petrino,Cory Goettsche,Jajuan Spillman,Patrick Carter
Oregon,Oregon,Oregon,[](#f/oregon),Big Ten,,2014,13-2,13.67,Mark Helfrich,Ian Wheeler,Charles Nelson,Charles Nelson
Notre Dame,Notre Dame,Notre Dame,[](#f/notredame),Independent,,2018,12-1,13.349,Brian Kelly,Tyler Newsome,Michael Young,Chris Finke
Wisconsin,Wisconsin,Wisconsin,[](#f/wisconsin),Big Ten,,2017,13-1,13.123,Paul Chryst,Anthony Lotti,Derrick Tindal,Nick Nelson
Arizona State,Arizona State,Arizona State,[](#f/arizonastate),Big 12,,1996,11-1,13.056,Bruce Snyder,Lance Anderson,Terry Battle,JR Redmond
Texas Christian,TCU,TCU,[](#f/tcu),Big 12,,2010,13-0,12.997,Gary Patterson,Anson Kelton,Jeremy Kerley,Jeremy Kerley
Stanford,Stanford,Stanford,[](#f/stanford),ACC,,2010,12-1,12.964,Jim Harbaugh,Daniel Zychlinski,Chris Owusu,Drew Terrell
Penn State,Penn State,Penn State,[](#f/pennstate),Big Ten,,2005,11-1,12.923,Joe Paterno,Jeremy Kapinos,Derrick Williams,Calvin Lowry
Washington,Washington,Washington,[](#f/washington),Big Ten,,2023,14-1,12.887,Kalen DeBoer,Jack McCallister,Daniyel Ngata,Denzel Boston
Central Florida,UCF,UCF,[](#f/ucf),Big 12,,2017,13-0,12.873,Scott Frost,Mac Loudermilk,Mike Hughes,Mike Hughes
Utah,Utah,Utah,[](#f/utah),Big 12,,2008,13-0,12.861,Kyle Whittingham,Louie Sakoda,David Reed,Brent Casteel
West Virginia,West Virginia,West Virginia,[](#f/westvirginia),Big 12,,2007,11-2,12.634,Rich Rodriguez,Pat McAfee,Noel Devine,Vaughn Rivers
Boise State,Boise State,Boise State,[](#f/boisestate),MWC,,2009,14-0,12.6,Chris Petersen,Kyle Brotzman,Titus Young,Kyle Wilson
Michigan State,Michigan State,Michigan State,[](#f/michiganstate),Big Ten,,2013,13-1,12.437,Mark Dantonio,Mike Sadler,RJ Shelton,Macgarrett Kings Jr.
Cincinnati,Cincinnati,Cincinnati,[](#f/cincinnati),Big 12,,2009,12-1,12.387,Brian Kelly,Jacob Rogers,Mardy Gilyard,Mardy Gilyard
Virginia Tech,Virginia Tech,Virginia Tech,[](#f/virginiatech),ACC,,2000,11-1,12.343,Frank Beamer,Robert Peaslee,Andre Kendrick,Andre Davis
